state,value
Alabama,12.50
Alaska,10.80
Arizona,12.50
Arkansas,13.30
California,9.70
Colorado,12.20
Connecticut,10.80
Delaware,11.70
District of Columbia,10.00
Florida,13.10
Georgia,11.70
Hawaii,9.40
Idaho,12.30
Illinois,9.70
Indiana,12.70
Iowa,10.70
Kansas,11.40
Kentucky,13.10
Louisiana,12.20
Maine,14.60
Maryland,10.00
Massachusetts,9.50
Michigan,11.80
Minnesota,10.10
Mississippi,11.90
Missouri,12.20
Montana,12.90
Nebraska,10.40
Nevada,13.60
New Hampshire,12.10
New Jersey,8.70
New Mexico,12.40
New York,8.70
North Carolina,10.90
North Dakota,9.40
Ohio,12.10
Oklahoma,13.40
Oregon,13.10
Pennsylvania,9.70
Rhode Island,11.10
South Carolina,10.80
South Dakota,11.10
Tennessee,12.70
Texas,10.80
Utah,9.40
Vermont,12.40
Virginia,10.20
Washington,12.20
West Virginia,13.20
Wisconsin,10.70
Wyoming,12.10
