state,value
Alabama,12.60
Alaska,12.50
Arizona,12.10
Arkansas,12.80
California,9.60
Colorado,11.80
Connecticut,10.90
Delaware,10.80
District of Columbia,9.70
Florida,13.10
Georgia,11.30
Hawaii,10.10
Idaho,12.00
Illinois,10.00
Indiana,12.30
Iowa,10.50
Kansas,11.60
Kentucky,13.00
Louisiana,12.10
Maine,13.80
Maryland,9.40
Massachusetts,9.60
Michigan,11.60
Minnesota,9.70
Mississippi,12.00
Missouri,11.90
Montana,12.40
Nebraska,10.50
Nevada,13.60
New Hampshire,12.20
New Jersey,8.50
New Mexico,13.00
New York,8.50
North Carolina,10.90
North Dakota,9.30
Ohio,11.90
Oklahoma,13.10
Oregon,13.40
Pennsylvania,9.40
Rhode Island,11.70
South Carolina,10.40
South Dakota,10.80
Tennessee,12.70
Texas,11.00
Utah,8.80
Vermont,11.90
Virginia,10.00
Washington,11.90
West Virginia,12.90
Wisconsin,10.80
Wyoming,12.40
