state,value
Alabama,12.40
Alaska,12.40
Arizona,12.60
Arkansas,13.40
California,9.70
Colorado,11.90
Connecticut,10.70
Delaware,11.30
District of Columbia,9.40
Florida,12.90
Georgia,11.40
Hawaii,9.40
Idaho,12.40
Illinois,10.00
Indiana,12.50
Iowa,10.80
Kansas,11.70
Kentucky,13.20
Louisiana,12.00
Maine,13.70
Maryland,10.30
Massachusetts,9.50
Michigan,11.50
Minnesota,9.80
Mississippi,11.50
Missouri,12.00
Montana,12.70
Nebraska,10.70
Nevada,14.00
New Hampshire,11.80
New Jersey,8.60
New Mexico,13.40
New York,8.70
North Carolina,10.60
North Dakota,9.60
Ohio,12.20
Oklahoma,13.30
Oregon,12.90
Pennsylvania,9.40
Rhode Island,11.40
South Carolina,10.10
South Dakota,10.50
Tennessee,13.10
Texas,11.00
Utah,9.40
Vermont,12.00
Virginia,10.10
Washington,12.40
West Virginia,12.90
Wisconsin,10.50
Wyoming,12.90
