state,value
Alabama,12.00
Alaska,12.40
Arizona,12.30
Arkansas,12.50
California,9.70
Colorado,11.90
Connecticut,10.00
Delaware,10.90
District of Columbia,10.00
Florida,12.40
Georgia,11.30
Hawaii,9.10
Idaho,11.70
Illinois,9.50
Indiana,12.30
Iowa,10.20
Kansas,11.20
Kentucky,12.50
Louisiana,11.60
Maine,13.60
Maryland,9.80
Massachusetts,9.10
Michigan,11.20
Minnesota,9.70
Mississippi,11.30
Missouri,11.70
Montana,12.30
Nebraska,10.40
Nevada,14.20
New Hampshire,11.30
New Jersey,8.20
New Mexico,12.40
New York,8.40
North Carolina,10.30
North Dakota,8.10
Ohio,11.80
Oklahoma,12.90
Oregon,12.80
Pennsylvania,9.20
Rhode Island,11.00
South Carolina,10.10
South Dakota,10.30
Tennessee,12.50
Texas,10.70
Utah,9.40
Vermont,12.60
Virginia,9.60
Washington,12.50
West Virginia,12.10
Wisconsin,10.00
Wyoming,12.60
