state,value
Alabama,11.30
Alaska,12.10
Arizona,11.60
Arkansas,12.10
California,9.40
Colorado,11.10
Connecticut,9.80
Delaware,10.20
District of Columbia,9.80
Florida,12.00
Georgia,10.80
Hawaii,9.50
Idaho,11.40
Illinois,9.10
Indiana,11.40
Iowa,10.00
Kansas,10.80
Kentucky,11.70
Louisiana,10.80
Maine,12.40
Maryland,9.40
Massachusetts,8.90
Michigan,10.60
Minnesota,9.10
Mississippi,10.60
Missouri,11.30
Montana,11.90
Nebraska,9.90
Nevada,12.90
New Hampshire,11.60
New Jersey,8.00
New Mexico,12.10
New York,8.50
North Carolina,9.70
North Dakota,9.00
Ohio,11.10
Oklahoma,12.20
Oregon,12.10
Pennsylvania,8.70
Rhode Island,10.60
South Carolina,9.70
South Dakota,9.90
Tennessee,12.20
Texas,10.10
Utah,8.70
Vermont,12.70
Virginia,9.50
Washington,11.90
West Virginia,11.60
Wisconsin,10.10
Wyoming,12.50
