state,value
Alabama,12.00
Alaska,11.00
Arizona,11.80
Arkansas,12.40
California,9.60
Colorado,11.50
Connecticut,9.60
Delaware,10.90
District of Columbia,9.00
Florida,12.00
Georgia,11.50
Hawaii,9.40
Idaho,12.00
Illinois,9.30
Indiana,12.10
Iowa,10.00
Kansas,11.00
Kentucky,12.70
Louisiana,11.00
Maine,12.40
Maryland,9.50
Massachusetts,8.90
Michigan,11.20
Minnesota,9.30
Mississippi,10.70
Missouri,11.70
Montana,11.60
Nebraska,9.80
Nevada,13.30
New Hampshire,11.10
New Jersey,8.20
New Mexico,11.90
New York,8.40
North Carolina,10.10
North Dakota,8.60
Ohio,11.60
Oklahoma,12.80
Oregon,12.80
Pennsylvania,9.00
Rhode Island,10.50
South Carolina,9.90
South Dakota,9.30
Tennessee,12.60
Texas,10.70
Utah,8.90
Vermont,12.00
Virginia,9.70
Washington,12.30
West Virginia,11.50
Wisconsin,9.80
Wyoming,13.20
