state,value
Alabama,12.60
Alaska,11.50
Arizona,12.80
Arkansas,13.20
California,9.50
Colorado,12.00
Connecticut,10.70
Delaware,11.20
District of Columbia,8.80
Florida,13.20
Georgia,11.30
Hawaii,9.50
Idaho,12.00
Illinois,9.70
Indiana,12.80
Iowa,10.80
Kansas,11.30
Kentucky,13.50
Louisiana,12.00
Maine,13.90
Maryland,10.10
Massachusetts,9.70
Michigan,11.50
Minnesota,10.20
Mississippi,11.70
Missouri,12.40
Montana,13.00
Nebraska,10.60
Nevada,14.20
New Hampshire,12.40
New Jersey,8.50
New Mexico,13.10
New York,8.90
North Carolina,11.10
North Dakota,9.60
Ohio,12.20
Oklahoma,13.30
Oregon,13.20
Pennsylvania,9.70
Rhode Island,11.50
South Carolina,11.00
South Dakota,10.40
Tennessee,12.80
Texas,10.80
Utah,9.40
Vermont,12.80
Virginia,10.50
Washington,12.10
West Virginia,14.00
Wisconsin,10.70
Wyoming,12.10
