state,value
Alabama,11.80
Alaska,11.50
Arizona,12.40
Arkansas,11.80
California,9.50
Colorado,12.30
Connecticut,9.60
Delaware,10.30
District of Columbia,9.70
Florida,12.30
Georgia,11.40
Hawaii,9.30
Idaho,11.40
Illinois,9.50
Indiana,12.10
Iowa,9.80
Kansas,11.10
Kentucky,12.50
Louisiana,11.00
Maine,12.40
Maryland,9.40
Massachusetts,9.10
Michigan,11.10
Minnesota,9.50
Mississippi,10.70
Missouri,11.70
Montana,12.20
Nebraska,9.70
Nevada,13.50
New Hampshire,11.40
New Jersey,8.20
New Mexico,12.70
New York,8.20
North Carolina,10.10
North Dakota,8.00
Ohio,11.60
Oklahoma,12.80
Oregon,12.60
Pennsylvania,9.20
Rhode Island,10.60
South Carolina,10.00
South Dakota,9.90
Tennessee,12.70
Texas,10.60
Utah,9.00
Vermont,12.10
Virginia,9.50
Washington,12.10
West Virginia,11.60
Wisconsin,10.00
Wyoming,13.00
