state,value
Alabama,12.60
Alaska,11.20
Arizona,12.50
Arkansas,13.50
California,9.40
Colorado,11.80
Connecticut,10.80
Delaware,11.20
District of Columbia,8.90
Florida,13.10
Georgia,11.50
Hawaii,9.10
Idaho,12.40
Illinois,10.00
Indiana,12.60
Iowa,10.80
Kansas,11.60
Kentucky,13.20
Louisiana,12.30
Maine,14.60
Maryland,10.10
Massachusetts,9.50
Michigan,11.80
Minnesota,10.30
Mississippi,11.40
Missouri,12.10
Montana,12.40
Nebraska,10.60
Nevada,14.20
New Hampshire,12.10
New Jersey,8.60
New Mexico,13.20
New York,8.80
North Carolina,10.80
North Dakota,9.80
Ohio,12.20
Oklahoma,13.30
Oregon,13.10
Pennsylvania,9.90
Rhode Island,12.40
South Carolina,11.10
South Dakota,10.50
Tennessee,12.70
Texas,10.60
Utah,9.10
Vermont,13.20
Virginia,10.10
Washington,11.90
West Virginia,13.90
Wisconsin,10.90
Wyoming,12.90
