state,value
Alabama,4
Alaska,6.3
Arizona,3.9
Arkansas,5.3
California,5.4
Colorado,3.7
Connecticut,4.5
Delaware,3.4
District of Columbia,5.5
Florida,4
Georgia,4.5
Hawaii,2.8
Idaho,3.1
Illinois,5
Indiana,4.6
Iowa,3.7
Kansas,4.2
Kentucky,5.4
Louisiana,4.3
Maine,4.7
Maryland,3.5
Massachusetts,4.6
Michigan,7
Minnesota,4.6
Mississippi,6.1
Missouri,5.1
Montana,3.6
Nebraska,3
Nevada,4.5
New Hampshire,3.5
New Jersey,4.3
New Mexico,3.8
New York,4.6
North Carolina,4.7
North Dakota,3.1
Ohio,5.6
Oklahoma,4.1
Oregon,5.2
Pennsylvania,4.4
Rhode Island,5.2
South Carolina,5.7
South Dakota,2.8
Tennessee,4.7
Texas,4.3
Utah,2.6
Vermont,4
Virginia,3
Washington,4.7
West Virginia,4.6
Wisconsin,4.9
Wyoming,2.8
