state,value
Alabama,5.7
Alaska,6.7
Arizona,6.2
Arkansas,5.5
California,7.3
Colorado,4.8
Connecticut,5.7
Delaware,4.9
District of Columbia,6.5
Florida,6.3
Georgia,6.2
Hawaii,4.3
Idaho,5.1
Illinois,6.3
Indiana,5.9
Iowa,4.2
Kansas,4.6
Kentucky,6.4
Louisiana,4.9
Maine,5.5
Maryland,4.2
Massachusetts,5.5
Michigan,8
Minnesota,5.4
Mississippi,6.6
Missouri,6.1
Montana,5.1
Nebraska,3.3
Nevada,6.7
New Hampshire,3.9
New Jersey,5.3
New Mexico,4.5
New York,5.4
North Carolina,6.1
North Dakota,3.2
Ohio,6.4
Oklahoma,3.7
Oregon,6.5
Pennsylvania,5.3
Rhode Island,7.8
South Carolina,6.8
South Dakota,3.1
Tennessee,6.6
Texas,4.8
Utah,3.6
Vermont,4.7
Virginia,3.9
Washington,5.4
West Virginia,4.3
Wisconsin,4.9
Wyoming,3.1
