state,value
Alabama,6.8
Alaska,6.9
Arizona,6.8
Arkansas,6.0
California,7.5
Colorado,5
Connecticut,6.6
Delaware,5.7
District of Columbia,7.8
Florida,6.3
Georgia,7.1
Hawaii,4.4
Idaho,4.9
Illinois,7.1
Indiana,6
Iowa,4.2
Kansas,4.5
Kentucky,6.5
Louisiana,6.4
Maine,5.6
Maryland,5.8
Massachusetts,5.7
Michigan,7.2
Minnesota,4.2
Mississippi,7.5
Missouri,6.1
Montana,4.7
Nebraska,3.3
Nevada,7.9
New Hampshire,4.3
New Jersey,6.8
New Mexico,6.7
New York,6.3
North Carolina,6.3
North Dakota,2.7
Ohio,5.8
Oklahoma,4.5
Oregon,6.8
Pennsylvania,5.9
Rhode Island,7.7
South Carolina,6.5
South Dakota,3.4
Tennessee,6.6
Texas,5.1
Utah,3.8
Vermont,4
Virginia,5.2
Washington,6.1
West Virginia,6.6
Wisconsin,5.4
Wyoming,4.1
