state,value
Alabama,6.1
Alaska,6.5
Arizona,6.1
Arkansas,5
California,6.2
Colorado,3.9
Connecticut,5.7
Delaware,4.9
District of Columbia,6.9
Florida,5.5
Georgia,6
Hawaii,3.6
Idaho,4.2
Illinois,6
Indiana,4.8
Iowa,3.8
Kansas,4.2
Kentucky,5.3
Louisiana,6.3
Maine,4.4
Maryland,5.1
Massachusetts,4.8
Michigan,5.4
Minnesota,3.7
Mississippi,6.4
Missouri,5
Montana,4.2
Nebraska,3
Nevada,6.8
New Hampshire,3.4
New Jersey,5.8
New Mexico,6.5
New York,5.3
North Carolina,5.7
North Dakota,2.8
Ohio,4.9
Oklahoma,4.4
Oregon,5.6
Pennsylvania,5.3
Rhode Island,6
South Carolina,6
South Dakota,3.1
Tennessee,5.6
Texas,4.4
Utah,3.6
Vermont,3.6
Virginia,4.5
Washington,5.7
West Virginia,6.7
Wisconsin,4.5
Wyoming,4.3
