state,value
Alabama,10.5
Alaska,7.9
Arizona,10.4
Arkansas,8.2
California,12.2
Colorado,8.7
Connecticut,9.1
Delaware,8.4
District of Columbia,9.4
Florida,11.1
Georgia,10.5
Hawaii,6.9
Idaho,9
Illinois,10.4
Indiana,10.4
Iowa,6
Kansas,7.1
Kentucky,10.2
Louisiana,8
Maine,8.1
Maryland,7.7
Massachusetts,8.3
Michigan,12.6
Minnesota,7.4
Mississippi,10.4
Missouri,9.6
Montana,7.3
Nebraska,4.6
Nevada,13.5
New Hampshire,5.8
New Jersey,9.5
New Mexico,8.1
New York,8.6
North Carolina,10.9
North Dakota,3.8
Ohio,10.3
Oklahoma,6.8
Oregon,10.6
Pennsylvania,8.5
Rhode Island,11.2
South Carolina,11.2
South Dakota,5
Tennessee,9.7
Texas,8.1
Utah,7.8
Vermont,6.1
Virginia,7.1
Washington,10
West Virginia,8.7
Wisconsin,8.7
Wyoming,6.4
