state,value
Alabama,4
Alaska,6.6
Arizona,4.2
Arkansas,5.2
California,4.9
Colorado,4.3
Connecticut,4.3
Delaware,3.6
District of Columbia,5.8
Florida,3.2
Georgia,4.7
Hawaii,2.6
Idaho,3.5
Illinois,4.5
Indiana,5
Iowa,3.7
Kansas,4.4
Kentucky,5.7
Louisiana,4.5
Maine,4.6
Maryland,3.9
Massachusetts,4.9
Michigan,7
Minnesota,4
Mississippi,6.5
Missouri,4.8
Montana,3.5
Nebraska,3.1
Nevada,4
New Hampshire,3.4
New Jersey,4.7
New Mexico,4.2
New York,4.5
North Carolina,4.7
North Dakota,3.2
Ohio,5.4
Oklahoma,4
Oregon,5.3
Pennsylvania,4.6
Rhode Island,4.9
South Carolina,6.4
South Dakota,3.1
Tennessee,5.2
Texas,4.9
Utah,3
Vermont,3.7
Virginia,3.1
Washington,5
West Virginia,4.9
Wisconsin,4.7
Wyoming,3.2
