state,value
Alabama,8
Alaska,7.1
Arizona,8.3
Arkansas,7.6
California,10.4
Colorado,7.9
Connecticut,8.3
Delaware,7.2
District of Columbia,9
Florida,8.5
Georgia,9.2
Hawaii,6
Idaho,7.2
Illinois,9
Indiana,8.3
Iowa,5
Kansas,5.7
Kentucky,8.2
Louisiana,7.1
Maine,7.5
Maryland,7
Massachusetts,6.7
Michigan,9.1
Minnesota,5.6
Mississippi,9
Missouri,6.9
Montana,6
Nebraska,4
Nevada,11.2
New Hampshire,5.5
New Jersey,9.3
New Mexico,7.1
New York,8.5
North Carolina,9.3
North Dakota,3.1
Ohio,7.4
Oklahoma,5.2
Oregon,8.8
Pennsylvania,7.8
Rhode Island,10.4
South Carolina,9.2
South Dakota,4.3
Tennessee,7.8
Texas,6.7
Utah,5.4
Vermont,5
Virginia,6.1
Washington,8.1
West Virginia,7.5
Wisconsin,7
Wyoming,5.3
