state,value
Alabama,11
Alaska,7.7
Arizona,9.9
Arkansas,7.8
California,11.2
Colorado,7.3
Connecticut,7.9
Delaware,8.3
District of Columbia,9.3
Florida,10.4
Georgia,9.9
Hawaii,7.2
Idaho,8.8
Illinois,10.2
Indiana,10.3
Iowa,6.4
Kansas,6.9
Kentucky,10.3
Louisiana,6.8
Maine,8.1
Maryland,7
Massachusetts,8.1
Michigan,13.7
Minnesota,7.8
Mississippi,9.5
Missouri,9.3
Montana,6.8
Nebraska,4.6
Nevada,11.3
New Hampshire,6.2
New Jersey,9.1
New Mexico,7.5
New York,8.3
North Carolina,10.6
North Dakota,4.1
Ohio,10.3
Oklahoma,6.4
Oregon,11.3
Pennsylvania,8
Rhode Island,11
South Carolina,11.2
South Dakota,4.9
Tennessee,10.5
Texas,7.6
Utah,7.3
Vermont,6.6
Virginia,6.7
Washington,9.2
West Virginia,7.7
Wisconsin,8.6
Wyoming,6.3
