state,value
Alabama,4.5
Alaska,6.9
Arizona,4.7
Arkansas,5.2
California,5.4
Colorado,5
Connecticut,4.9
Delaware,4.1
District of Columbia,6.4
Florida,3.7
Georgia,5.3
Hawaii,2.9
Idaho,4
Illinois,5.7
Indiana,5.5
Iowa,4.3
Kansas,5
Kentucky,5.9
Louisiana,7.2
Maine,4.9
Maryland,4.1
Massachusetts,4.8
Michigan,6.8
Minnesota,4.1
Mississippi,7.5
Missouri,5.4
Montana,4.4
Nebraska,3.8
Nevada,4.1
New Hampshire,3.6
New Jersey,4.5
New Mexico,5.1
New York,5
North Carolina,5.2
North Dakota,3.4
Ohio,5.9
Oklahoma,4.5
Oregon,6.2
Pennsylvania,5
Rhode Island,5
South Carolina,6.7
South Dakota,3.8
Tennessee,5.6
Texas,5.4
Utah,4.1
Vermont,3.5
Virginia,3.6
Washington,5.6
West Virginia,5.1
Wisconsin,4.7
Wyoming,3.6
