state,value
Alabama,5.9
Alaska,6.9
Arizona,5.4
Arkansas,3.9
California,5.5
Colorado,3.3
Connecticut,5.1
Delaware,4.5
District of Columbia,6.1
Florida,4.8
Georgia,5.4
Hawaii,2.9
Idaho,3.8
Illinois,5.8
Indiana,4.4
Iowa,3.6
Kansas,4
Kentucky,5.1
Louisiana,6
Maine,3.8
Maryland,4.4
Massachusetts,3.9
Michigan,5
Minnesota,3.9
Mississippi,5.8
Missouri,4.6
Montana,4.1
Nebraska,3.1
Nevada,5.7
New Hampshire,2.9
New Jersey,5
New Mexico,6.7
New York,4.8
North Carolina,5.1
North Dakota,3.1
Ohio,5
Oklahoma,4.8
Oregon,4.8
Pennsylvania,5.4
Rhode Island,5.2
South Carolina,5
South Dakota,3
Tennessee,4.7
Texas,4.6
Utah,3.4
Vermont,3.2
Virginia,4.1
Washington,5.3
West Virginia,6.1
Wisconsin,4
Wyoming,5.3
